A	განუსაზღვრელი არტიკლი,
edge	ნაპირი, პირი
edible	საჭმელი, სანოვაგე
edifice	შენობა
edit	რედაქტირება, დასაბეჭდათ მომზადება
edition	გამოცემა
editor	გამომცემელი, რედაქტორი
editorial	მოწინავე სტატია, სარედაქციო (წერილი)
educate	განათლების მიცემა, განათლებული, აღზრდა
education	განათლება, აღზრდა, აღმზრდელობითი
eel	გველთევზა
efface	წაშლა, ამოშლა
effect	ეფექტი, მოქმედება, გავლენა, შედეგი, ქონება
effective	ეფექტური, ნამდვილი
efficiency	ეფექტურობა, შრომის ნაყოფირება, სინამდვილე
efficient	კარგი, ნაყოფიერი
effort	ძალვა, ცდა
effrontery	თავხედობა, ურცხვობა
effust	თავდაუჭერელი, ექსპანსიური
egg	კვერცხი
Egypt	ეგვიპტე
eight	რვა
eighteen	თვრამეტი
eighteenth	მეთვრამეტე
eighth	მერვე
eightieth	მეოთხმოცე
eighty	ოთხმოცი
either	თვითოეული, რომელიმე
ejaculate	წამოძახება, წამოყვირება
eject	გამოგდება, გაძევება, გაგდება, ამოხეთქვა
elaborate	დაწვრილებით დამუშავება
elapse	გათავება, გავლა (დროისა)
elbow	იდაყვი
elder	უფროსი, ხნიერი, ხანში შესული, ხუცესი, ანწლი,
elect	არჩევა
election	არჩევნები
elector	ამომრჩეველი
electoral	საარჩევნო
electric	ელექტრონის
electrician	ელექტრომონტიორი
electricity	ელექტრობა, ელქტროენერგია
electrification	ელექტრიფიკაცია
elemental	სტიქიური, ძირითადი
elementary	ელემენტარული, პირველდაწყებითი
elephant	სპილო
elevate	ამაღლება, აწევა
eleven	თერთმეტი
eleventh	მეთერთმეტე
elicit	ამოღება
eliminate	გამორიცხვა, დათხოვნა, განადგურება
elm	თელა
elongate	გაჭიანურება, გაგრძელება, გაჭიმვა
eloquence	მჭერმეტყველება
eloquent	მჭერმეტყველი
else	კიდევ, გარდა, სხვანაირად
elswhere	სადღაც, სხვა ადგილას
elucidate	გაშუქება, ახცნა განმარტების მიცემა
elude	არიდება, აცდენა, თავის არიდება
elusion	თავის დაძრომა,გაძრომა, აცდენა
emancipate	განთავისუფელბა, უფლებრივად გათანასწორება, ემანსიპაცია
embankment	სანაპირო
embark	დატვირთვა, გემში ჩაჯდომა
embrrass	შეკრთომა, შეშფოთება, გაძნელება
embassy	საელჩო
embellish	მორთვა, შელამაზება
embezzle	გაფლანგვა, მითვისება (სხვისი ფულებისა)
embitter	გაბოროტება, გაბრაზება
embrace	ჩახვევა, გადახვევა, გონებით ჩაწვდომა
embroider	ქარგვა, მოქარგვა, შელამაზება (მოთხრობისა)
embroil	ჩათრევა, წაჩხუბება
embryo	ჩანასახი (ბიოლ.)
emerge	გამოჩენა
emergency	კრიტიკული მდგომარეობა
eminent	სახელგანთქმული, გამოჩენილი
emit	გამოშვება, გამოცემა (ხმისა)
emotion	ემოცია, აღელვება
emphasis	გახაზვა, ხმის ამაღლება
emphasize	ხაზის გასმა
emphatic	კატეგორიული, გამაძლიერებელი, გამომეტყველი
empire	იმპერია
employ	მოხმარა, გამოყენება, ხმარება
employee	მოსამსახურე, მოხელე
employer	დამქირავებლი
employment	დაქირავება, მოხმარება, სამსახური
empower	სრული უფლებით აღჭურვა
empty	ცარიელი, დაცლა, დაცარიელება
emulation	შეჯიბრი
enable	შესაძლებლობის მიცემა
enact	დადგენილების გამოტანა
enactment	კანონის გატარება, კანონი
encamp	დაბანაკება
enchant	მოხიბლვა, მოჯადოება
encircle	გარშემორტყმა
enclose	ჩართვა, ჩადება, დამატება, გარშემორტყმა
enclosure	ჩადება, შეღობილი ადგილი
encounter	დატაკება, დაჯახება
encourage	გამხნევება, წახალისება
encroach	შეჭრა, შემოჭრა (სხვის ტერიტორიაზე ან უფლებებში); შეცადება
encumbrance	დაბრკოლება
end	ბოლო, დაბოლოება; და (კავშირი, გრამ.)
endanger	საფრთხეში ჩაგდება
endavour	ცდა, ცდილობს
ending	ბოლო, დასასრული
endless	უსაზღვრო, გაუთავებელი
endlessly	უსაზღვროდ
endorse	მხარის დაჭერა, დადასტურება, მოწონება
endow	მუდმივი შემოსავლით უზრუნველყოფა
endurance	ამტანობა, გამძლეობა
endure	ატანა, გაძლება
enemy	მტერი, მოწინააღმდეგე
energetic	ენერგიული
energy	ენერგია, ძალა
enfeeble	დაუძლურება, დასუსტება
enfold	შეფუთვა, გახვევა
enforce	ცხოვრებაში გატარება (კანონისა), ძალდატანება, იძულება, დაძალება
enfranchise	განთავისუფელბა
engage	დაქირავება, მიწვევა (სამუშაოზე); დაკავებული საქმიანი
engagement	საქმე, ვალდებულება, მოვალეობა, თანამდებობა, ნიშნობა
engaging	სასიამოვნო მიმზიდველი, მომხიბლველი
engender	ჩასახვა, წარმოშობა (იდეალის, გრძნობის და სხვა)
engine	მანქანა, თბომავალი
enggineer	ინჟინერი
England	ინგლისი
English	ინგლისური
Englishman	ინგლისელი კაცი
Englishwoman	ინგლისელი ქალი
engrained	დანერგილი, ფესვგადგმული
engulf	შთანთქმა
enigma	ამოცანა
enjoin	დადგენა, დაწესება, აკრძალვა
enjoy	სიამოვნების მიღება, განცდა, დატკბობა
enjoyment	სიამოვნება, გართობა
enlarge	გადიდება, გაფართოება
enlighten	გასხივოსნება, განათება, განათლება, განმანათლებელი
enlist	სამხედრო სამსახურში შესვლა
enliven	გაცხოველება, აღფრთოვანება, გამხნევება
enmity	მტრობა, შუღლი
enormous	უზარმაზარი, დიდი
enough	საკმარისი, საკმაოდ
enrage	გაცოფება, გაბრაზება
enrich	გამდიდრება
enrol	სიაში შეტანა
ensign	დროშა, ნიშანი
enslave	დაშინება, დაჩაგვრა, დამონება
ensure	დაზღვევა, გარანტიის მიცემა, უზრუნველყოფა
entagle	დაბნევა, აბნევა, გაბმა (მახეში)
enter	შესვლა, ჩაწერა
enterprise	საწარმოო, წამოწყება
enterprising	გამბედავი, ყოჩაღი
entertain	გართობა, მიღება (სტუმრებისა)
entusiasm	ენთუზიაზმი
enthusastically	ენთუზიაზმით
entire	მთელი, მთლიანი, სრულყოფილი
entitle	უფლების მინიჭება, დასათაურება (წიგნისა)
entrails	ნაწლავი, შიგნეული
entrance	შესასვლელი, შესავალი
entrap	დაჭერა (მახეთი), მოტყუება
entrust	მინდობა, დანდობა
entry	შესავალი, შესასვლელი, ჩანაწერი
enumerate	ჩამოთვლა
envelop	შეფუთვა, გახვევა
envelope	კონვერტი
environ	გარშემოტყმა, გარემოცვა, მიდამოები, არემარე
enviroment	გარემოცვა, წრე
envoy	სრულუფლებიანი, წარმომადგენელი
envy	შური, შეშურება
epoch	ეპოქა
equal	თანასწორი, ერთნაირი, თანაბარი
equality	თანასწორობა, თანასწორუფლებიანობა
equalize	გათანასწორება
equip	მოწყობა, მომარაგება
equipment	მოწყობილობა, საჭურველი
equity	სამართლიანობა
eradicate	აღმოფხვრა
erase	საშლელით წაშლა
eraser	საშლელი
erect	აშენება, ამაღლებული, პირდაპირი
err	შეცდომა, შეცდომის ჩადენა, შეცოდვა
erand	დავალება
erronecus	მცდარი, შემცდარი
error	შეცდომა, ცოდვა
eruption	ამოსროლა, ამოტყორცნა, აფეთქება, ამოხეთქვა
escape	გაგცევა, თავის დაღწევა
escort	მცველი, ამალა, გამცილებელი
especial	განსაკუთრებული, სპეციალური
especially	განსაკუთრებით, სპეციალურად
esplonge	შპიონაჟი, შპიონობა
essay	ნარკვევი, სტატია
essence	დედააზრი, არსი
essential	არსებითი, მნიშვნელოვანი, არსი, დედააზრი
establish	დაარსება, დადგენა
establishment	დაწესებულება, მეურნეობა, დაარსება
estate	მამული, ქონება
esteem	პატივისცემა
Estonia	ესტონეთი
estimate	დაფასება, შეფასება, მხარჯთაღრიცხვა, მხარჯთაღრიცხვის შედგენა
estimation	მსჯელობა, აზრი, შეფასება, პატივისცემა
estrange	მოშორება, დაშორება
etch	ამოჭრა, ამოკვეთა
etching	გრავიურა
eternal	საუკუნო, სამარადისო
eternity	მარადისობა, მუდმივობა
ether	ეთერი (ქიმ.)
ethics	ეთიკა, ზნეობა
eulogy	ქება, ქებადიდება, ხოტბა
Europe	ევროპა
Europian	ევროპიელი, ევროპული
evacuate	დაცლა, ევაკუირება
evade	გაგცევა, თავის არიდება
evaporate	აორთქლება, გაქრობა, მოკვდომა
evasive	ორჭოფი, მიკიბულ_მოკიბული
eve	წინადღე
even	კი, კიდეც, სწორი, თანაბარი, გასწორება, გათანაბრება
evening	საღამო
event	შემთხვევა
eventual	საბოლოო
ever	ოდესმე, მუდამ, სამუდამოდ, ძალიან, ძალიან ბევრი
everlasting	სამუდამო, მუდმივი, საუკუნო
every	თითოეული, ყოველი
everybody	თითოეული, ყოველი (ადამიანი)
everyday	ყოველდღე
everyone	თითოეული, ყოველი, ყველა (ადამიანი)
everything	ყველაფერი
everywhere	ყველგან
eviction	გამოსახლება, ქონების ჩამორთმევა
evidence	დამამტკიცებელი საბუთი, სამხილი (იურ.), სიცხადე
evident	აშკარა, ნათელი
evil	ცუდი, დამღუპველი, სიბოროტე, ბოროტება, ზიანი
evoke	გამოფხიზლება
exact	ზუსტი; გადახდევინება; გამოძალვა
exacting	მეტისმეტად მომთხოვნი
exactly	ზუსტად, სწორედ
exaggerate	გაზვიადება
examine	გამოცდა, დათვალიერება, გამოკვლევა, დაკითხვა
examiner	გამომცდელი, მკვლევარი
example	მაგალითი, ნიმუში
exasperate	გარიზიანება
excavate	გამოჩენა, ამოთხრა, გამოძებნა
excavations	გათხრები
exceed	გადაჭარბება, გადამეტება
exceedingly	ძალიან, განსაკუთრებით
excel	ჯობნება (სჯობს)
excellent	მშვენიერი, წარჩინებული
except	გარდა, გამოკლებით
exception	გამონაკლისი
except	ნაწყვეტი, ამონაწერი
excess	ზედმეტი, ნამეტი, უკიდურესობა
excessive	მეტისმეტი, უზომო, უკიდურესი
exchange	გაცვლა, ბირჟა, გაცვლა_გამოცვა, დახურდავება (ფულისა)
exchequer	ხაზინა
excite	გარიზიანება, აღელვება
excitement	აღელვება
exclaim	წამოძახება, წამოყვირება
exclamation	შეძახილი, ძახილის ნიშანი
exclude	გამორიცხვა, ამოშლა
exclusive	განსაკუთრებული
excursion	ექსკურსია
excuse	ბოდიშის მოხდა, გამართლება, პატიება, მიტევება
execute	შესრულება, დასჯა
excutive	აღმასრულებელი
exempt	განთავისუფლება, განთავისუფლებული
exemption	განთავისუფლება
exercise	ვარჯიში, სავარჯიშო, გამოყენება (უფლების)
exhaust	დასუსტება, დაუძლურება, გამოლევა, ამოწურვა, გამოფიტვა
exhaustive	ამომწურავი
exhibit	გამოფენა, ჩვენება, გამომჟღავნება
exhibition	გამოფენა
exigence	(exigency)   მოთხოვნილება, აუცილებლობა
exile	გადასახლება, გაძევება, გაქცევა
exist	არსებობა, ცხოვრება
existence	არსებობა
exit	გამოსვლა, გამოსავალი, გამოსასვლელი
exonerate	გამართლება, შემსუბუქება
expand	გავრცელება, გაფართოება
expansion	გაფართოვება, გაჭიმვა, ექსპანსია, სივრცე
expatriate	სამშობლოდან გაგდება, გადასახლება, გაძევება
expect	ლოდინი (ელის); იმედის ქონა
expedient	მიზანშეწონილი, შესაფერი
expedite	აჩქარება, დაჩქარება, სწრაფად შესრულება
expel	ამოგდება, გამორიცხვა
expend	ხარჯვა
expenditure	ხარჯი
expense	გასავალი, ხარჯი, ხარჯები, დანახარჯი
expensive	ძვირი
experience	გამოცდილება, განცდა, გამოცდა, გამოცდილების შეძენა
experienced	გამოცდილი
experiment	ცდა, ექსპერიმენტი
expert	ექსპერტი, მცოდნე, გამოცდილი
expire	გასვლა (ვადისა); კვდომა (კვდება)
explain	განმარტება, ახსნა
explanation	ახსნა
explicit	ზუსტი, გარკვეული, ნათელი
explode	აფეთქება
exploit	გმირობა, ექსპლოატირება, დამუშავება (მაღაროსი)
exploitation	ექსპლოატაცია
explore	გამორკვევა, შესწავლა
explorer	გამომკვლევი, შემსწავლელი
explosion	აფეთქება
exponent	ექსპონანტი, ნიმუში, ამხსნელი, წარმომადგენი
expose	გამოფენა, გამოტანა, გამომჟღავნება
exposition	გამოფენა, თხრობა, გადმოცემა
exposure	გამომჟღავნება
express	გამოთქმა, გადმოცემა, სპეციალური, ჩქარი მატარებელი, ექსპრესი
expression	გამოსახვა, გამოთქმა; გამომეტყველება, ექსპრესია
expulsion	გამორიცხვა, გამოგდება
exquisite	ჩინებული, მშვენიერი, დახვეწილი
extend	გაშლა, გაჭიმვა
extension	გავრცობა, გაფართოვება
extent	ზომა, ხარისხი
exterior	გარეგნული
exterminate	ამოწყვეტა, მოსპობა, აღმოფხვრა
external	გარეგანი, გარეშე, საგარეო
extinct	ჩამქრალი, გამქრალი
extinguish	ჩაქრობა, გაქრობა
extirpate	აღმოფხვრა, ძირფესვიანად ამოგდება
extort	გამოძალვა, იძულებით ან მუქარით გამორთმევა (ფულის); გამოკითხვა (საიდუმლოების)
extract	ამოღებული, ამონაკრები (წიგნიდან); ამოკრება, ამოღება (კბილის)
extravagant	უგნური, მფლანგველი,
extreme	უკიდურესი, უკიდურესობა
extremely	უკიდურესად
eye	თვალი
eyeball	თვალის კაკალი
eyebrow	წარბი
eyelash	წამწამი
eyelid	ქუთუთო
fable	იგავ-არაკი; ზღაპარი
fabric	ქსოვილი; ფაბრიკატი
fabricate	მოგონება, შეთხზვა; წარმოება
face	სახე, გამომეტყველება; პირისპირ შეხვედრა, დგომა
facilitate	შემსუბუქება, გაადვილება
facilities	შესაძლებლობანი
facility	სიადვილე
fact	ფაქტი, სინამდვილე, მოვლენა; in fact - მართლაც, სინამდვილეში
faction	ფრაქცია
factor	ფაქტორი
factory	ფაბრიკა, ქარხანა
faculty	ფაკულტეტი; ნიჭი
fade	ჭკნობა, დაჭკნობა; გახუნება, ფერის დაკარგვა
fall	დამარცხება; ჩაჭრა (გამოცდაზე)
failure	მარცხი, დამარცხება; გაკოტრება
faint	მკრთალი; სუსტი; გულის შეწუხება, გულის წასვლა
faint-hearted	სულმდაბალი; გაუბედავი, მხდალი
fair	მშვენიერი, ლამაზი; პატიოსანი; საშუალო; დამაკმაყოფილებელი
fairy	ფერია
fairyland	ზღაპრული ქვეყანა
fairy-tale	ზღაპარი
faith	რწმენა, ნდობა; სარწმუნოება; პატიოსნება
faithful	ერთგული
fake	გაქნილობა, თაღლითობა
falcon	შევარდენი
fall	(fell, fallen) დაცემა, დაშვება; ჩანჩქერი; შემოდგომა; fall back - უკან დახევა; fall into - დაშლა, დაყოფა; შერთვა (მდინარესთან)
fallacy	შეცდომა, მცდარობა; მცდარი დასკვნა; სოფისტიკა
false	მცდარი, ყალბი
falsify	ფალსიფიცირება, გაყალბება, დამახინჯება (ჩვენების)
falter	მერყეობა, ყოყმანი
fame	სახელი, დიდება
familiar	ცნობილი; ჩვეულებრივი; ახლობელი
familiarize	გაცნობა, შეთვისება
family	ოჯახი; გვარი
famine	შიმშილი, შიმშილობა
famish	შიმშილით მოკვლა, შიმშილობა
famous	სახელოვანი, სახელგანთქმული, ცნობილი
fan	მარაო; ვენტილიატორი
fancy	წარმოსახვა; თავისთვის წარმოდგენა; ფანტაზია; to take a fancy - გატაცება
fang	ეშვი
far	შორს, შორეული
fare	საფასური (მგზავრობისათვის)
farewell	მშვიდობით, ნახვამდის, კეთილი მგზავრობა, დამშვიდობება
farm	მეურნეობა (გლეხისა); ფერმა
farmer	ფერმერი; მეურნე
farther	უფრო შორს; გარდა ამისა, ამასთანავე
farthest	ყველაზე შორს
farthing	ფარტინგი (ფულადი ერთეული, პენსის მეოთხედი)
fascinate	მოჯადოება, მოხიბლვა
fascism	ფაშიზმი
fascist	ფაშისტური, ფაშისტი
fashion	მოდა, სტილი; ჩვეულება
fast	ჩქარი, სწრაფი; მარხვა ჩქარი, სწრაფი
fasten	მიბმა, მიმაგრება, შეკვრა
fastener	საკინძე, შესაკრავი
fastidious	წუნია; გულაზიზი
fat	მსუქანი, ქონიანი, მსუყე; ქონი, ცხიმი; გასუქება
fatal	ფატალური, საბედისწერო
fate	ბედი, ბედისწერა
fateful	საბედისწერო; გადამწყვეტი; განწირული
father	მამა
fatherhood	მამობა
fatherland	სამშობლო
fatherless	უმამო
fatigue	დაღლილობა, დაქანცულობა; დაღლა, დაქანცვა
fault	შეცდომა, დანაშაული; ხარვეზი, ნაკლი
faultfinding	მიზეზის მძებნელი, შარიანი
favor	წყალობა, სამსახური, დახმარება; ხელშეწყობა, ხელის მიმართვა, მფარველობა
favorable	მოწყალე, კეთილმოსურნე; ხელსაყრელი
favorite	საყვარელი, ფავორიტი
fawn	ირემი (ერთ წლამდე)
fear	შიში, დაშინება
fearful	საშინელი, მშიშარა
fearless	უშიშარი
feasible	შესაძლებელი, განხორციელებადი
feast	ქეიფი; ზეიმი; საეკლესიო დღესასწაული
feat	გმირობა, სიმამაცე
feather	ბუმბული
feature	თვისება; სეზონის საუკეთესო კინოფილმი; გამოსახვა, წარმოსახვა; ეკრანზე ჩვენება
February	თებერვალი
fecund	ნაყოფიერი, მოსავლიანი
fee	ჰონორარი; საწევრო გადასახადი
feeble	სუსტი
feed	(fed)     საკვები, საზრდო; კვება, საზრდოობა
feel	(felt)    გრძნობა, შეგრძნება
feeling	გრძნობა, შეგრძნება
feign	სიმულირება, თავის მოკატუნება
feigningly	თავის მოკატუნებით
felicity	ნეტარება, ბედნიერება
fellow	ამხანაგი, მეგობარი; თანამოძმე; სამეცნიერო საზოგადოების წევრი; ახალგაზრდა
felony	ბოროტმოქმედება
female	ქალი; მდედრობითი სქესი; ქალური, ნაზი
feminine	მდედრობითი
fence	ღობე, ყორე; შეღობვა
fennel	კამა
ferment	დუღილი, ფუება
fermentation	დუღილი
fern	გვიმრა
ferocious	სასტიკი, მძვინვარე, მკაცრი
ferocity	სისასტიკე, სიმკაცრე
ferry	ბორანი, ბორანით გადასვლა
ferryman	მებორნე
fertile	მოსავლიანი, ნაყოფიერი
fertilize	განოყიერება
fertilizer	სასუქი, ნაკელი
fervor	სიფიცხე
festival	ფესტივალი, დღესასწაული
fetch	მოტანა, გამოწვევა (ცრემლის); მოხიბლვა
fetter	ბორკილი, ბორკილის დადება
feud	მტრობა
fever	სიცხე, ციება
few	ცოტა, მცირერიცხოვანი, ცოტაოდენი
fib	ჭორი, ტყუილი, ცრუობა
fiction	ფიქცია, გამონაგონი; მონაჭორი; ბელეტრისტიკა
fiddle	ვიოლინო, ვიოლინოზე დაკვრა
fidelity	ერთგულება
fidgety	მოუსვენარი
field	მინდორი, ველი; დარგი, სფერო; ასპარეზი; რაიონი
fierce	მძვინვარე, სასტიკი
fifteen	თხუთმეტი
fifteenth	მეთხუთმეტე
fifth	მეხუთე
fiftieth	მეორმოცდაათე
fifty	ორმოცდაათი
fig	ლეღვი
fight	ბრძოლა
fighter	მებრძოლი
figure	ციფრი, ფიგურა, ნაკვთი, ნახატი, გამოთვლა, წარმოდგენა (თავისთვის)
file	ქლიბი, მწკრივი, ყდა, საქაღალდე, წკრივით სვლა, ქაღალდების ჩაკერება, ქლიბვა
fill	გავსება, ავსება
film	ფილმი
filth	ჭუჭყი, გარყვნილება
final	უკანასკნელი, საბოლოო, დასკვნითი
finally	უკანასკნელად, საბოლოოდ
finance	ფინანსები, დაფინანსება
find	პოვნა, ნახვა
finding	ნაპოვნი
fine	მშვენიერი, ლამაზი; ჯარიმე, დაჯარიმება
finger	თითი, თითით შეხება; ქრთამის აღება
finish	გათავება, დამთავრება
Finland	ფინეთი
Finnish	ფინური
fir	ნაძვი, ფიჭვი
fire	ცეცხლი, ალი, ხანძარი; აალება, ანთება, გადაწვა, სროლა
fire-arm	ცეცხლსასროლი იარაღი
fire-brigade	სახანძრო რაზმი
fireman	მეხანძრე, ცეცხლფარეში
fireplace	ბუხარი
firewood	შეშა
firing	სროლა
firm	მაგარი, შეუდრეკელი, მტკიცე, გამაგრება, გამტკიცება
first	პირველი, პირველადი
first-rate	პირველხარისხოვანი
fish	თევზი, თევზაობა, თევზის ჭერა
fisher	მეთევზე
fishery	თევზის მრეწველობა
fishing	თევზაობა, თევზის ჭერა
fish-story	დაუჯერებელი ამბავი
fist	მუშტი
fit	შეტევა, ბნედის მოვლა, პაროქსიზმი
fitness	ვარგისობა, გამოსადეგობა
fitter	ზეინკალი, მონტიორი
five	ხუთი
fix	გაკეთება, ფიქსირება, გამაგრება, დადგენა, მოწყობა
fixed	უძრავი
fixedly	მიშტერებით
flabby	ჩამოშვებული, ჩამოწოწილი, ჩამოკიდებული
flag	დროშა, ალამი
flagrant	აღმაშფოთებელი, სასკანდალო
flair	ალღო
flake	თოვლის ფიფქი
flame	ალი, ანთება
flank	ფრთა (შენობის); გვერდი, ფერდობი, კალთა (მთის)
flannel	ფლანელი
flare	ანტება, აფეთქება, აალება
flash	გაელვება, განათება
flat	ბრტყელი, სწორი, კატეგორიული; ბინა
flat-iron	უთო
flatten	გაბრტყელება
flatter	მლიქვნელობა, ფარისევლობა
flatterer	მლიქვნელი, ფარისეველი
flattery	ფარისევლობა, მლიქვნელობა
flavor	სხვა გემო, ხელი, გემო, სურნელება, არომატი, სუნი
flaw	ხარვეზი, ბზარი
flax	სელი
flea	რწყილი
fleck	ლაქა, წინწკალი, ჭორფლი
flee	(fled)   გაქცევა, თავის შველა
fleet	ფლოტი
flesh	უმი ხორცი
flexible	მოქნილი, ელასტიური
flicker	ციმციმი, ციალი
flier	მფრინავი
flight	გაფრენა, გაქცევა
flimsy	არამტკიცე, უმდგრადი
flinch	უკან დახევა
fling	გადაგდება, გადასროლა
flit	გადაფრენა, სხვა ბინაზე გადასვლა
float	ტივტივი, ცურვა, გავრცელება, სესხის გავრცელება
flock	ჯოგი, შეჯგუფება; მრევლი (რელ.)
flog	წკეპლვა, გამათრახება
flood	წყალდიდობა
floor	იატაკი, სართული
flop	ხმაურით დაცემა, დავარდნა
flop-house	ღამის სათევი
florid	ყვავილოვანი, აყვავებული
flour	ფქვილი, ფხვნილი
flourish	აყვავება, წარმატების ქონა
flow	დენა, დინება
flower	ყვავილი, აყვავება
flowery	ყვავილოვანი, აყვავებული
fluctuate	რხევა, რყევა, მერყეობა, ყოყმანი
fluent	თავისუფალი, ჩქარი (მდინარე)
fluid	თხელი, თხევადი, მიმდინარე
flush	სიწითლე, წითელი ფერი
flux	დინება
fly	ბუზი
flyer	მფრინავი
foam	ქაფი
fog	ნისლი
fold	ნაკეცი, კეცვა, დაკეცვა
folding	საკეცი
foliage	ფოთლები
folk	ხალხი, ადამიანები; ოჯახი
follow	გამოდევნება, მიყოლა, მიდენა, გამოკიდება
follower	მიმდევარი
following	შემდეგი, მომდევნო
folly	სისულელე
foment	წაქეზება, შეგულიანება
fond	მოსიყვარულე, მოყვარული, სიყვარული
food	საჭმელი, საკვები
fool	სულელი, მოტყუება, გასულელება
foolish	სულელი, ტუტუცი, სულელური
foot	ფეხი, ტერფი
foothold	დასაყრდენი წერტილი
footlights	რამპა (თეატრ.)
footprint	კვალი
footwear	ფეხსაცმელი
for	-თვის, განმავლობაში, მაგიერ
forbear	მოთმენა, თავის შეკავება
forbearance	მოთმინება, თავდაჭერა
forbid	(forbade)   აკრძალვა
force	ძალა, შეიარაღებული რაზმი, შეიარაღებული ძალები; იძულება, ძალის დატანება
forced	იძულებითი
ford	ფონი, ფონს გასვლა
fore	წინა, წინ
forecast	წინასწარმეტყველება, წინასწართქმა
forefather	წინაპარი
forefinger	საჩვენებელი თითი
forefront	მოწინავე ხაზი (ფრონტზე)
forego	წინსვლა, წინმავალობა
foregoing	ზემოხსენებული, წინამავალი
forehead	შუბლი
foreign	უცხო, უცხოური
foreigner	უცხოელი
foreman	ზედამხედველი
foremost	მოწინავე, ყველაზე მთავარი
foresee	წინასწარხედვა, წინასწარჭვრეტა
foreshadow	მოსწავება (მოასწავებს)
foreshow	წინასწარხედვა, წინასწარჭვრეტა, წინასწარმეტყველება
foresight	წინასწარხილვა, წინასწარხედვა
forest	ტყე, გატყევება
forester	მეტყევე
foretell	წინასწარმეტყველება
foreword	წინასიტყვაობა
forge	სამჭედლო, გამოჭედვა, ყალბის გაკეთება
forgery	ყალბი, ნაყალბევი
forget	(forgot, forgotten)   დავიწყება
forgive	პატიება
fork	ჩანგალი, ორთითი, განშტოება
form	ფორმა, ანკეტა, შექმნა, ჩამოყალიბება
formal	ფორმალური, გარეგნული
former	ყოფილი, პირველი
formerly	წინათ
formidable	საშინელი, გიგანტური, უზარმაზარი
forth	წინ, გარეთ
forthcoming	მომავალი
fortieth	მეორმოცე
fortify	გამაგრება
fortnight	ორი კვირა
fortress	ციხესიმაგრე
fortunate	ბედნიერი
fortune	ბედი, ბედისწერა, ბედნიერება, სიმდიდრე
forty	ორმოცი
forward	წინ, დაჩქარება, დახმარება, გაგზავნა, წინა, მოწინავე
foster	წახალისება, წაქეზება
foul	აყროლებული, ბინძური, დასვრილი, უპატიოსნო, გასვრა
found	საფუძვლის ჩაყრა, დაარსება
foundation	საფუძველი, საძირკველი
founder	დამაარსებელი, დამფუძნებელი
founding	ნაპოვნი, მიგდებული ბავშვი (მშობლებისაგან მიტოვებული)
foundry	სამსხმელო საამქრო
fountain	შადრევანი
fountain-pen	მუდმივი კალამი
four	ოთხი
fourteen	თოთხმეტი
fourteenth	მეთოთხმეტე
fourth	მეოთხე
fowl	შინაური ფრინველი
fox	მელია
fraction	წილადი
fracture	მოტეხილობა, გადატეხა
frail	მყიფე, სუსტი
frame	ჩარჩო, ჩარჩოში ჩასმა
France	საფრანგეთი
franchise	საარჩევნო უფლება, პრივილეგია, უპირატესობა
frank	გულწრფელი, გულგაშლილი
fraternal	ძმური
fraternity	ძმობა, თემი
fraternize	დაძმობილება
fraud	მოტყუება, მატყუარა
freckle	ჭორფლი, დაჭორფლვა
free	თავისუფალი, განთავისუფლება; უფასო
freedom	თავისუფლება
freeze	(froze, frozen)   გაყინვა, გათოშვა
freight	ტვირთი, ტვირთვა, დატვირტვა
French	ფრანგი, ფრანგული, ფრანგული ენა
Frenchman	ფრანგი (კაცი)
Frenchwoman	ფრანგოი (ქალი)
frequent	ხშირი
fresh	ახალი, სუფთა, გამოუცდელი, ცივი, გამაგრილებელი
freshen	გაგრილება, განიავება
freshman	პირველკურსელი
Friday	პარასკევი
friend	მეგობარი, ნაცნობი
friendship	მეგობრობა
fright	შიში
frighten	დაშინება, შეშინება
frightful	საშინელი
frigid	ცივი
frivolous	მოუფიქრებლი, თვაქარიანი
fro	to and fro - წინ და უკან, აქეთ-იქით
frog	ბაყაყი
from	-გან, დან
front	წინა, ფასადი, ფრონტი
frontier	საზღვარი
frost	ყინვა
frown	წარბის შეკვრა
frozen	გაყინული
fruit	ხილი, ნაყოფი
fruitful	ნაყოფიერი
fruitless	უნაყოფო, უსარგებლო
frustrate	ჩაშლა (გეგმებისა); ხელის შელა
fry	შეწვა
fuel	საწვავი მასალა
fugitive	ლტოლვილი, გადახვეწილი
fulfill	შესრულება, გახორციელება
fulfillment	შესრულება
full	სავსე, მთელი
fully	სავსებით, მთლინად
fume	აორთქლება, ბოლი, ორთქლი, მოკმევა, შებოლბა, შეხრჩოლება
fun	ხუმრობა, გართობა, სეირი
function	ფუნქცია, ვალდებულება
fundamental	ძირითადი, საფუძვლები
funds	ფულადი სახსრები, კაპიტალი
funeral	დაკრძალვა, დასაფლავება
funny	სასეირო, სასაცილო, უცნაური
fur	ბეწვი, მატყლი, ბეწვეული
furious	გახელებული, გაცოფებული
